page_url,image_url,author,title,annotation,price,status,genre,subgenre,dttm_updated
https://www.biblio-globus.ru/product/10891383,https://static.biblio-globus.ru/images/ImageHandler.ashx?fileName=10891383.jpg&width=260,Шолохов.Незаконный,Прилепин З.,"Михаил Шолохов - один из крупнейших писателей ХХ века, автор эпических произведений, посвященных революционным событиям в России и прежде всего на его родном Верхнем Дону. По праву считаясь советским патриотом и убежденным коммунистом, он в то же время постоянно подвергался постоянной критике, защищал жертв репрессий и сам едва избежал расправы ретивых чекистов. Любимый миллионами читателей, он был чужим для завистливого литературного бомонда, в среде которого родилась до сих пор не изжитая версия о том, что самый знаменитый шолоховский роман ""Тихий Дон"" написан не им, а другим автором или целой группой ""литературных негров"".В своей новой полномасштабной биографии Шолохова известный писатель, публицист, политик Захар Прилепин убедительно разоблачает эту и другие легенды, окружающие имя классика. Шаг за шагом проходя вместе с героем его жизненный и творческий путь, Прилепин показывает, что не только книги Шолохова, но и его судьба актуальны для нас сегодня.",1109,в наличии,Художественная литература,Классическая и современная проза,2023-03-23 13:13:52.545642
https://www.biblio-globus.ru/product/10912963,https://static.biblio-globus.ru/images/ImageHandler.ashx?fileName=10912963.jpg&width=260,Киев - Москва. Расхождение,Веллер М. И.,"Новая книга Михаила Веллера в увлекательной и местами неожиданной форме рассказывает об особенностях междоусобиц Киевской Руси и самодержавном подъеме Руси Московской. Книга отличается жестокой честностью, исчерпывающими подробностями и иронией стиля.",819,в наличии,Художественная литература,Классическая и современная проза,2023-03-23 13:13:54.030357
https://www.biblio-globus.ru/product/10913844,https://static.biblio-globus.ru/images/ImageHandler.ashx?fileName=10913844.jpg&width=260,До самого рая,Янагихара Х.,"Новый роман Ханьи Янагихары, автора мировых бестселлеров “Маленькая жизнь” и “Люди среди деревьев”, — это и неординарный интеллектуальный вызов, и меткое попадание в каждое сердце. В альтернативной версии Америки 1893 года, когда отпрыск влиятельной семьи соглашается на достойный брак по договору, его внезапно настигает страсть, грозящая разрушить привычную жизнь. В 1993 году молодой гаваец прячет от близких свое знатное происхождение и сложные отношения с отцом. В 2093 году внучка большого ученого нащупывает собственный путь в мире эпидемий и тотального контроля. Их судьбы сплетаются в сложную симфонию, странным эхом перекликаясь через столетия и проходя вечные человеческие испытания: одиночество, любовь, стыд, болезнь, предательство, добро и зло — все эти неуловимые вещи, то и дело норовящие обернуться своей противоположностью.",1349,в наличии,Художественная литература,Классическая и современная проза,2023-03-23 13:13:56.464826
https://www.biblio-globus.ru/product/10901048,https://static.biblio-globus.ru/images/ImageHandler.ashx?fileName=10901048.jpg&width=260,Однажды в России. Унесенные шквалом 90-х,Салуцкий А.С. ,"Роман «Однажды в России» будет интересен читателям разных возрастов – как старшему поколению, так и сорокалетним, и совсем юным. Автор (имя и фамилия автора) описывает события, происходящие в драматическую, переломную эпоху в истории нашей страны. Не столь далёкую и современникам хорошо известную, но уже слегка присыпанную пылью времени и пока не до конца осознанную. Книга повествует о судьбах двадцатилетних, угодивших в штормовые перестроечные и лихие 90-е годы. Это современная история об «унесённых ветром», любимых и любящих, обстоятельствами времени и жизни разбросанных по городам и весям. Главные герои, Вальдемар и Анна, вынуждены принимать непростые решения: с кем они? Что для них высшее благо? Что допустимо, а через что переступить невозможно? Где заканчивается самопожертвование и начинается предательство своих идеалов? 
Но в самые тяжелые минуты Анна вспоминает слова своего деда: мечта выше рангом, чем надежда, и всегда должна быть с тобой. Мечта, которая спасала на самом краю. А к Вальдемару приходит откровение: любовь без счастья бывает, а счастье без любви — никогда!
Книга написана на основе реальных событий, происходивших в те годы в России и, в частности, в Москве.",799,в наличии,Художественная литература,Классическая и современная проза,2023-03-23 13:13:57.977286
https://www.biblio-globus.ru/product/10893791,https://static.biblio-globus.ru/images/ImageHandler.ashx?fileName=10893791.jpg&width=260,Папа,Манылов П. В.,"Молодой герой этой книги вырос в провинциальном городе в семье врачей, но не может и не хочет вести такую жизнь, как они. Костя с иронией наблюдает, как его отец, всеми уважаемый кардиолог «скорой помощи», спасает человеческие жизни, а потом заглушает стресс алкоголем. Отец работает за копейки. Самонадеянный пятикурсник Костя хочет иначе: чтобы всё легко и сразу. Он любит деньги, и у него к ним талант. Однако, ввязавшись в сомнительную историю, Костя не представляет, через какие соблазны и риски ему придется пройти в его стартовом бизнесе. И, если бы не отец, неизвестно, чем бы все закончилось… 
Динамичный  роман по-новому решает вечную тему «отцов и детей» и отличается быстрым развитием сюжета, цепкостью авторского взгляда и кинематографическими эффектами.  «Давно не встречал такого честного, такого цепкого писательского взгляда, без лишних красивостей и сантиментов. Эмоциональная правда о времени. Неудивительно, что девяностые в тренде. Туда уходят корни многих судеб». (Алексей Кучерский,  «Литературная газета») «Девяностые принято демонизировать, но это был ренессанс. Взрыв сверхновой! Всё плохое и всё хорошее сплетали во времени  диковинный узор событий и персонажей. И автору с блеском удалось передать это в своей книге». (Иван Охлобыстин)",609,в наличии,Художественная литература,Классическая и современная проза,2023-03-23 13:13:59.964408
https://www.biblio-globus.ru/product/10878752,https://static.biblio-globus.ru/images/ImageHandler.ashx?fileName=10878752.jpg&width=260,Волшебник,Тойбин К.,"Впервые на русском — новейший роман одного из крупнейших британских прозаиков Колма Тойбина, неоднократного финалиста Букеровской премии. «Волшебник» — это литературная биография прославленного романиста Томаса Манна, автора «Будденброков» и «Волшебной горы», «Смерти в Венеции» и «Доктора Фаустуса», лауреата Нобелевской премии. Это семейная сага, охватывающая больше полувека; сюда уместились и детство в патриархальном Любеке, и юность в богемном Мюнхене, и семейное счастье, и непроницаемые тайны внутреннего мира, и Первая мировая война, и бегство от фашистской диктатуры, и Вторая мировая война, и начало войны холодной... «„Волшебник“ — это не просто биография, а произведение искусства, эмоциональное подведение итогов века перемен, и в центре его — человек, который пытается не сгибать спину, но вечно колеблется под ветрами этих перемен» (The Times).",1139,в наличии,Художественная литература,Классическая и современная проза,2023-03-23 13:14:02.265458
https://www.biblio-globus.ru/product/10878717,https://static.biblio-globus.ru/images/ImageHandler.ashx?fileName=10878717.jpg&width=260,KGBT+,Пелевин В.О.,"Вбойщик KGBT+ (автор классических стримов «Катастрофа», «Летитбизм» и других) известен всей планете как титан перформанса и духа. Если вы не слышали его имени, значит, эпоха green power для вас еще не наступила и завоевавшее планету искусство B2B (brain-to-brain streaming) каким-то чудом обошло вас
стороной.
Но эта книга — не просто очередное жизнеописание звезды шоу-биза. Это учебник успеха. Великий вбойщик дает множество мемо-советов нацеленному на победу молодому исполнителю. KGBT+ подробно рассказывает историю создания своих шедевров и комментирует сложные факты своей биографии, включая убийства, покушения и почти вековую отсидку в баночной тюрьме, а также опровергает многочисленные слухи о своей личной жизни. Настоящее издание впервые включает повесть «Дом Бахии»
о прошлой (предположительно) жизни легендарного вбойщика в Японии и Бирме.
Книга не только подарит вам несколько интересных вечеров, но и познакомит с аутентичными древними психотехниками, применение которых позволит пережить нашу великую эпоху с минимальным вредом для здоровья и психики.",949,в наличии,Художественная литература,Классическая и современная проза,2023-03-23 13:14:03.784914
https://www.biblio-globus.ru/product/10567224,https://static.biblio-globus.ru/images/ImageHandler.ashx?fileName=10567224.jpg&width=260,Нос,Гоголь Н. В. ,"Подарочное издание классического произведения Н.В. Гоголя ""Нос"", с иллюстрациями современного художника-графика Олега Корытова. Дизайн обложки - блинтованное тиснение на брутальном крафте в обрез.    Сам текст произведения нагружен разными параллельными пространствами, понятными только главным героям – майору Ковалеву и его носу. Использование конструкции книги помогает превратить это в композиционно-пространственную игру.",1059,в наличии,Художественная литература,Классическая и современная проза,2023-03-23 13:14:08.932775
https://www.biblio-globus.ru/product/10790039,https://static.biblio-globus.ru/images/ImageHandler.ashx?fileName=10790039.jpg&width=260,Рассеянная жизнь : [роман],Кетро М.,"В холодной Москве девяностых и в современном жарком Тель-Авиве две женщины живут, как во сне, скользят, не задевая реальности. Фасолька встретила главного мужчину своей жизни и перестала видеть остальной мир. Поль переехала в город мечты, который любит больше, чем людей, потому что «мы сами стали теми парнями, за которых в юности хотели выйти замуж». Но нельзя заранее угадать, как поступит с тобой судьба, можно только быть стойкими и любить. 
Вся эта книга — сны о прекрасной юности и о любви. Любовь взрослой женщины и юной девушки, любовь к городу и к самой жизни, рассеянной, утекающей сквозь пальцы, бесценной. А юность может случиться в опасное время, но всё равно полна счастья.",499,в наличии,Художественная литература,Классическая и современная проза,2023-03-23 13:14:10.393331
https://www.biblio-globus.ru/product/10574567,https://static.biblio-globus.ru/images/ImageHandler.ashx?fileName=10574567.jpg&width=260,Бабье царство. Русский парадокс,Радзинский Э. С.,"Это был воистину русский парадокс. В стране ""Домостроя"", где многочисленные народные пословицы довольно искренне описывали положение женщины: ""Курица не птица, баба не человек"", ""Кому воду носить? Бабе! Кому битой быть? Бабе! За что? За то, что баба"", - весь ХVIII век русским государством самодержавно правили женщины - четыре Императрицы и две Правительницы. Начинается воистину галантный русский век - первый и последний век, когда Любовь правила политикой... И фавориты порой выпрыгивали из августейших постелей прямиком во власть. И за всеми нашими императрицами стояла гвардия, детище Петра, весь век галантно сажавшая наших дам на трон - иногда не без крови.",1119,в наличии,Художественная литература,Классическая и современная проза,2023-03-23 13:14:11.451031
